2,1,4,1,0,1
6,14,14,0,0,1
1,0,0,0,0,0
2,2,2,0,0,1
1,3,22,18,0,0
4,1,5,9,0,1
1,5,9,6,1,1
2,1,18,16,0,0
3,7,9,2,0,1
1,1,1,0,0,0
1,32,33,1,0,1
1,0,1,0,0,1
2,0,0,0,0,0
8,18,23,13,0,6
4,0,0,1,0,0
4,0,6,10,0,1
3,0,0,0,0,0
6,10,16,4,0,3
5,1,2,0,0,1
1,1,106,1,0,1
2,0,5,7,0,3
4,0,0,0,0,0
1,2,5,1,0,2
1,0,1,16,0,0
3,44,45,0,0,1
2,2,14,11,0,0
3,7,8,0,0,1
1,9,11,1,0,1
2,0,1,0,0,1
1,4,11,6,4,1
1,0,33,32,0,1
1,7,19,21,0,1
1,3,5,1,0,1
1,5,6,0,0,1
3,3,37,33,0,1
6,8,44,32,0,3
1,0,1,0,2,1
7,9,15,1,0,1
1,0,8,7,0,0
1,2,4,0,0,1
1,2,3,0,0,1
3,0,4,2,0,0
1,1,3,2,0,1
1,6,10,2,0,3
1,17,23,7,1,1
1,0,6,5,0,1
6,10,21,45,0,1
1,3,3,0,0,1
1,0,12,11,0,0
1,1,3,1,1,1
1,1,2,0,0,0
3,3,6,3,0,1
3,2,2,0,0,1
1,1,1,0,0,1
2,1,2,0,0,1
2,2,3,0,0,1
9,2,2,0,0,0
2,2,24,20,0,1
1,2,5,2,1,1
5,0,0,0,0,0
2,0,1,0,0,0
14,40,54,25,0,0
3,13,14,0,5,1
1,1,2,0,0,1
5,14,25,18,0,1
2,2,12,9,0,0
1,30,2,15,0,1
3,3,4,0,0,1
5,6,21,17,0,2
2,1,3,2,0,1
2,1,1,0,0,0
1,0,5,4,0,0
1,0,1,0,0,0
1,1,4,2,0,1
1,1,6,4,0,1
2,6,6,0,0,1
2,5,6,3,0,1
5,12,19,1,0,1
4,7,17,9,2,1
4,4,4,0,0,1
1,12,30,18,0,1
1,0,11,10,0,0
1,1,3,4,0,1
3,0,29,29,0,1
5,4,7,0,0,4
1,5,24,18,0,1
4,11,32,20,0,1
1,4,6,2,1,1
2,5,6,0,0,0
3,6,21,15,1,1
2,1,2,44,0,1
3,1,3,0,0,1
4,5,7,0,1,0
2,5,18,9,4,1
1,14,15,4,0,1
5,5,13,26,0,1
1,5,11,5,0,1
2,2,14,14,0,0
1,13,20,7,0,1
4,0,1,0,0,1
3,12,13,0,0,1
3,0,2,1,0,1
1,1,3,0,0,1
1,0,4,3,2,1
2,1,5,3,1,1
1,3,4,0,0,1
2,7,10,1,0,2
2,1,6,0,0,1
1,0,3,2,0,1
4,0,1,0,0,0
3,3,10,6,1,1
1,1,5,2,0,1
2,0,2,0,0,1
2,6,2,14,0,0
1,7,7,0,0,1
1,0,6,5,0,0
1,10,16,5,0,1
1,0,3,2,1,0
3,0,1,0,0,1
2,1,12,10,0,0
8,12,47,32,0,5
2,6,7,0,0,1
2,7,12,5,0,1
6,8,5,8,0,1
1,3,6,2,0,0
2,5,8,19,0,1
1,3,4,12,0,1
1,1,2,1,0,1
2,3,4,9,0,0
1,1,4,0,0,0
2,8,21,13,0,0
1,3,7,3,0,1
3,0,4,3,0,1
5,8,23,2,0,1
1,4,4,0,0,1
2,3,4,0,0,1
4,2,4,0,0,2
1,4,5,0,0,1
9,13,31,16,0,2
8,29,30,0,0,1
3,1,22,20,0,1
5,2,2,0,0,0
2,12,13,1,0,1
3,14,20,5,0,1
4,6,16,6,1,2
4,2,21,17,0,2
2,2,15,11,0,2
2,11,12,0,1,0
3,34,68,34,0,1
18,28,53,37,0,1
1,13,14,1,0,1
2,12,13,3,0,0
2,5,5,0,0,1
5,5,10,1,0,2
10,26,54,71,0,1
2,1,2,0,0,0
3,1,12,4,0,1
2,2,4,0,0,1
2,4,5,4,0,0
3,2,3,1,0,1
3,2,3,0,0,0
1,0,4,3,1,1
5,6,13,7,0,1
4,6,7,0,0,1
2,11,31,21,0,2
2,1,26,0,0,1
1,11,13,0,0,1
3,2,3,0,0,1
1,2,9,5,0,1
2,10,11,0,0,1
1,13,14,0,0,1
4,3,16,22,0,1
3,3,7,2,0,1
3,8,21,14,4,2
1,5,5,0,0,0
5,6,18,16,0,1
1,0,2,0,0,1
7,10,63,5,0,1
3,4,5,0,0,1
1,12,14,1,11,1
3,6,15,7,0,2
1,9,13,6,0,1
1,0,2,1,0,1
2,10,13,3,0,0
1,2,2,0,0,1
3,14,25,11,0,1
3,3,20,15,0,1
1,4,6,1,0,1
1,0,4,3,0,1
3,1,21,21,0,0
1,0,3,0,0,1
1,0,2,2,0,1
3,5,9,4,0,1
1,2,3,20,0,0
2,4,4,0,0,0
1,1,9,7,0,2
4,6,22,9,6,3
2,23,24,0,0,1
4,5,13,11,0,1
2,8,10,0,0,2
2,9,9,7,0,1
3,66,71,4,0,2
1,0,2,0,0,0
4,34,52,20,0,2
5,5,15,12,0,1
3,5,7,0,0,1
1,3,4,2,0,1
1,5,8,2,0,1
3,4,20,16,0,1
1,1,3,0,1,1
7,12,38,23,0,2
4,9,15,59,0,1
2,2,7,4,0,1
1,0,0,3,0,0
4,3,8,2,0,2
1,0,8,7,0,2
1,5,15,12,0,1
5,4,5,0,0,0
3,16,19,3,0,1
2,4,4,0,0,1
1,0,1,12,0,0
1,0,5,4,0,1
6,5,9,5,0,2
3,2,11,8,0,1
1,0,7,6,0,0
7,7,46,39,0,1
3,0,14,13,0,0
2,4,8,2,0,1
2,4,5,0,0,1
1,2,5,4,0,1
1,0,18,11,0,0
12,27,73,36,7,2
6,1,23,17,0,3
4,1,1,0,0,0
3,0,2,10,0,0
5,6,8,2,0,1
3,1,2,0,0,0
2,3,11,7,0,1
1,4,10,6,0,0
3,3,34,22,0,2
1,8,12,4,0,1
2,2,3,2,0,1
1,0,0,33,0,0
2,1,3,0,0,1
1,30,34,9,0,1
6,2,32,13,0,0
2,2,28,64,0,0
3,3,7,2,0,2
7,5,30,24,0,0
1,4,5,2,0,0
1,0,3,2,2,1
1,3,6,1,0,1
1,8,9,1,0,1
4,62,65,11,0,2
1,9,22,12,0,0
5,1,12,9,0,1
3,3,6,2,0,1
3,2,2,0,0,0
4,0,9,21,0,1
1,0,2,1,0,0
2,2,4,4,0,1
1,5,6,3,0,1
7,3,3,0,0,1
2,10,24,16,0,1
1,3,5,2,0,0
3,1,2,0,0,1
2,1,3,1,0,1
1,15,16,0,0,1
3,6,7,13,0,1
3,8,11,2,0,1
4,9,10,0,0,0
5,1,3,0,0,0
1,10,9,0,0,1
3,3,5,1,0,1
2,24,25,0,0,1
1,10,15,5,0,1
1,2,2,0,0,2
3,2,21,45,0,1
1,2,14,11,0,1
1,9,20,10,0,0
1,0,12,11,1,0
4,41,57,30,0,1
12,1,14,12,0,0
4,2,5,0,0,1
2,10,12,1,0,0
